id,group,protocol,direction,name,frame,lab,decoded,status,note
fd_body_00,Raise FD кузов,raise_rzc_fd,canbox_to_hu,кузов все закрыто,FD 05 05 00 00 0A,uFD050500000A,кузов: все закрыто,candidate,
fd_body_01,Raise FD кузов,raise_rzc_fd,canbox_to_hu,дверь LF,FD 05 05 01 00 0B,uFD050501000B,кузов: дверь водитель,candidate,
fd_body_02,Raise FD кузов,raise_rzc_fd,canbox_to_hu,дверь RF,FD 05 05 02 00 0C,uFD050502000C,кузов: дверь пассажир,candidate,
fd_body_04,Raise FD кузов,raise_rzc_fd,canbox_to_hu,дверь LR,FD 05 05 04 00 0E,uFD050504000E,кузов: задняя левая,candidate,
fd_body_08,Raise FD кузов,raise_rzc_fd,canbox_to_hu,дверь RR,FD 05 05 08 00 12,uFD0505080012,кузов: задняя правая,candidate,
fd_body_10,Raise FD кузов,raise_rzc_fd,canbox_to_hu,багажник,FD 05 05 10 00 1A,uFD050510001A,кузов: багажник,candidate,
fd_body_20,Raise FD кузов,raise_rzc_fd,canbox_to_hu,капот,FD 05 05 20 00 2A,uFD050520002A,кузов: капот,candidate,
fd_body_40,Raise FD кузов,raise_rzc_fd,canbox_to_hu,люк candidate bit6,FD 05 05 40 00 4A,uFD050540004A,кузов: люк candidate,candidate,
fd_body_80,Raise FD кузов,raise_rzc_fd,canbox_to_hu,люк/доп bit7 candidate,FD 05 05 80 00 8A,uFD050580008A,кузов: все закрыто,candidate,
fd_body_0f,Raise FD кузов,raise_rzc_fd,canbox_to_hu,все двери,FD 05 05 0F 00 19,uFD05050F0019,"кузов: дверь водитель, дверь пассажир, задняя левая, задняя правая",candidate,
fd_body_3f,Raise FD кузов,raise_rzc_fd,canbox_to_hu,двери+багажник+капот,FD 05 05 3F 00 49,uFD05053F0049,"кузов: дверь водитель, дверь пассажир, задняя левая, задняя правая, багажник, капот",candidate,
fd_body_7f,Raise FD кузов,raise_rzc_fd,canbox_to_hu,кузов все flags bit0..6,FD 05 05 7F 00 89,uFD05057F0089,"кузов: дверь водитель, дверь пассажир, задняя левая, задняя правая, багажник, капот, люк candidate",candidate,
fd_body_4000,Raise FD кузов,raise_rzc_fd,canbox_to_hu,люк candidate 2-byte 40 00,FD 06 05 40 00 00 4B,uFD06054000004B,кузов: люк candidate,candidate,Дубликат quick-команд для проверки люка.
fd_body_0040,Raise FD кузов,raise_rzc_fd,canbox_to_hu,люк candidate 2-byte 00 40,FD 06 05 00 40 00 4B,uFD06050040004B,кузов: все закрыто,candidate,Дубликат quick-команд для проверки люка.
fd_key_00_press,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,release,FD 06 02 00 01 00 09,uFD060200010009,"кнопка release, status 1",candidate,
fd_key_01_press,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,source/mode candidate,FD 06 02 01 01 00 0A,uFD06020101000A,"кнопка key 0x01, status 1",candidate,
fd_key_01_release,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,source/mode candidate release,FD 06 02 01 00 00 09,uFD060201000009,"кнопка key 0x01, status 0",candidate,
fd_key_02_press,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,mute candidate,FD 06 02 02 01 00 0B,uFD06020201000B,"кнопка key 0x02, status 1",candidate,
fd_key_02_release,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,mute candidate release,FD 06 02 02 00 00 0A,uFD06020200000A,"кнопка key 0x02, status 0",candidate,
fd_key_10_press,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,mute,FD 06 02 10 01 00 19,uFD060210010019,"кнопка mute, status 1",candidate,
