category,function,direction,dbc_bus,dbc_id_hex,dbc_name,dbc_signals,log_marker,observed_channel,observed_bitrate,observed_id_hex,observed_dlc,observed_signal_or_byte,off_value,on_value,confidence,status,implementation_type,implementation_note
body,ignition_state,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_IGNSw; CF_Gway_Ign1; CF_Gway_Ign2,ignition_acc_ign_start,,,,,,,,0.0,dbc_candidate,read_only,
body,driver_door,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_DrvDrSw,door_driver_open_close,,,,,,,,0.0,dbc_candidate,read_only,
body,driver_door_mirror,car_to_adapter,M-CAN,0x1EB,GW_DDM_PE,C_DRVDoorStatus,door_driver_open_close,,,,,,,,0.0,dbc_candidate,mirror_to_hu,
body,passenger_door,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_AstDrSw,door_passenger_open_close,,,,,,,,0.0,dbc_candidate,read_only,
body,passenger_door_mirror,car_to_adapter,M-CAN,0x1EB,GW_DDM_PE,C_ASTDoorStatus,door_passenger_open_close,,,,,,,,0.0,dbc_candidate,mirror_to_hu,
body,rear_left_door,car_to_adapter,C-CAN,0x553,CGW2,CF_Gway_RLDrSw,door_rear_left_open_close,,,,,,,,0.0,dbc_candidate,read_only,
body,rear_left_door_mirror,car_to_adapter,M-CAN,0x1EB,GW_DDM_PE,C_RLDoorStatus,door_rear_left_open_close,,,,,,,,0.0,dbc_candidate,mirror_to_hu,
body,rear_right_door,car_to_adapter,C-CAN,0x553,CGW2,CF_Gway_RRDrSw,door_rear_right_open_close,,,,,,,,0.0,dbc_candidate,read_only,
body,rear_right_door_mirror,car_to_adapter,M-CAN,0x1EB,GW_DDM_PE,C_RRDoorStatus,door_rear_right_open_close,,,,,,,,0.0,dbc_candidate,mirror_to_hu,
body,trunk,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_TrunkTgSw,trunk_open_close,,,,,,,,0.0,dbc_candidate,read_only,
body,trunk_mirror,car_to_adapter,M-CAN,0x1EB,GW_DDM_PE,C_TrunkStatus,trunk_open_close,,,,,,,,0.0,dbc_candidate,mirror_to_hu,
body,hood,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_HoodSw,hood_open_close,,,,,,,,0.0,dbc_candidate,read_only,
body,lock_unlock,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_RKECmd; CF_Gway_DrvKeyLockSw; CF_Gway_DrvKeyUnlockSw; CF_Gway_PassiveAccessLock; CF_Gway_PassiveAccessUnlock,lock_unlock_key,,,,,,,,0.0,dbc_candidate,read_only,
body,driver_seatbelt,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_DrvSeatBeltSw,seatbelt_driver_on_off,,,,,,,,0.0,dbc_candidate,read_only,
body,passenger_seatbelt,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_AstSeatBeltSw,seatbelt_passenger_on_off,,,,,,,,0.0,dbc_candidate,read_only,
body,sunroof_open_state,car_to_adapter,C-CAN,0x541,CGW1,C_SunRoofOpenState; CF_Gway_RrSunRoofOpenState,sunroof_open_close,ch1,500000,0x541,8,DATA[7] bit1 mask 0x02,00/03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 03,0.85,confirmed_rx,read_only,"Full frame: C-CAN ch1 500000 STD ID 0x541 DLC 8 DATA ...; DATA[0]=03 is ignition, not sunroof."
body,window_states,car_to_adapter,C-CAN,0x559,CGW4,CF_Gway_DrvWdwStat; CF_Gway_AstWdwStat; CF_Gway_RLWdwState; CF_Gway_RRWdwState,window_each_open_close,,,,,,,,0.0,dbc_candidate,read_only,
comfort,steering_wheel_heater_state,car_to_adapter,C-CAN,0x559,CGW4,CF_Gway_StrgWhlHeatedState,heated_steering_button,,,,,,,,0.0,dbc_candidate,read_only,
body,outside_temperature,car_to_adapter,C-CAN,0x383,FATC11,CR_Fatc_OutTemp,outside_temp_baseline,,,,,,,,0.0,dbc_candidate,read_only,
body,engine_temperature,car_to_adapter,C-CAN,0x329,EMS12,TEMP_ENG,engine_warmup,,,,,,,,0.0,dbc_candidate,read_only,
body,battery_voltage,car_to_adapter,C-CAN,0x545,EMS14,VB,battery_voltage_acc_idle,,,,,,,,0.0,dbc_candidate,read_only,
motion,vehicle_speed_ems,car_to_adapter,C-CAN,0x316,EMS11,VS,speed_0_5_20_40,,,,,,,,0.0,dbc_candidate,read_only,
motion,vehicle_speed_wheels,car_to_adapter,C-CAN,0x386,WHL_SPD11,WHL_SPD_FL; WHL_SPD_FR; WHL_SPD_RL; WHL_SPD_RR,speed_0_5_20_40,,,,,,,,0.0,dbc_candidate,read_only,
motion,rpm_ems,car_to_adapter,C-CAN,0x316,EMS11,N,rpm_idle_1000_1500_2000,,,,,,,,0.0,dbc_candidate,read_only,
motion,gear_selector,car_to_adapter,C-CAN,0x111,TCU11,G_SEL_DISP; GEAR_TYPE; SWI_GS,gear_p_r_n_d,,,,,,,,0.0,dbc_candidate,read_only,
motion,gear_lvr,car_to_adapter,C-CAN,0x354,LVR11,CF_Lvr_GearInf,gear_p_r_n_d,,,,,,,,0.0,dbc_candidate,read_only,
motion,reverse_gear,car_to_adapter,C-CAN,0x111,TCU11,G_SEL_DISP,gear_r_on_off,,,,,,,,0.0,dbc_candidate,read_only,
motion,steering_angle_sas,car_to_adapter,C-CAN,0x2B0,SAS11,SAS_Angle,steering_left_center_right,,,,,,,,0.0,dbc_candidate,read_only,
