segment,duration_s,ch,id_hex,meaning,count,unique,first,last,score,top_values
baseline_idle_start_do_nothing_10s,96.995,1,0x4E5,driver seat heat C-CAN candidate,313,4,80 42 00 01 49 C4 00 00,80 3E 00 01 49 C4 00 00,29,80 42 00 01 49 C4 00 00 x211 | 80 3E 00 01 49 C4 00 00 x97 | 80 42 00 01 49 C3 00 00 x4 | 80 3E 00 01 49 C3 00 00 x1
baseline_idle_start_do_nothing_10s,96.995,1,0x4E6,M-CAN generic multimedia text transport,313,2,49 C4 00 00 83 83 8C 00,49 C4 00 00 83 83 8C 00,26,49 C4 00 00 83 83 8C 00 x257 | 49 C4 00 00 83 83 8D 00 x56
baseline_idle_start_do_nothing_10s,96.995,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,627,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x627
baseline_idle_start_do_nothing_10s,96.995,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",627,1,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,22,00 00 C0 00 00 00 00 01 x627
baseline_idle_start_do_nothing_10s,96.995,1,0x490,M-CAN USB media text transport / Music USB spam candidate,626,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x626
baseline_idle_start_do_nothing_10s,96.995,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,625,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x625
baseline_idle_start_do_nothing_10s,96.995,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,314,1,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,22,03 00 41 00 C0 00 00 01 x314
baseline_idle_start_do_nothing_10s,96.995,1,0x53E,gear/reverse secondary candidate,310,1,00 08 00 00 80 0E,00 08 00 00 80 0E,22,00 08 00 00 80 0E x310
baseline_idle_start_do_nothing_10s,96.995,0,0x169,gear/reverse secondary candidate,157,1,20 01 03 FF 14 00 40 00,20 01 03 FF 14 00 40 00,22,20 01 03 FF 14 00 40 00 x157
baseline_idle_end,10.011,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,102,2,03 00 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,31,03 00 41 00 C0 00 00 01 x54 | 00 00 41 00 C0 00 00 01 x48
