log=/Users/legion/Downloads/2CAN35_CANBOX_WORK_2026-05-08/canbus2can35_repo/logs/session_20260507/full_gsusb_20260507_132119.txt
frames=5879501 duration=3309.873s

count   hz      ch  id       dlc  changing_bytes  sample
233873   70.66  1   0x18F  8    1,5,7           FA 63 00 00 00 44 00 20
229861   69.45  1   0x1BF  8    -               00 00 00 00 00 00 00 00
229703   69.40  1   0x2B0  5    0,1,2,3,4       33 00 00 07 F8
229485   69.33  1   0x220  8    0,1,2,3,4,5,6,7  03 84 7F 00 00 43 10 10
229197   69.25  1   0x111  8    1,2,4,5,6,7     00 40 61 FF 63 C0 09 54
228063   68.90  1   0x200  6    0,1,2           00 00 6F 00 00 00
227961   68.87  1   0x251  8    0,1,2,3,5,6,7   08 04 BC 96 00 06 48 80
227472   68.73  1   0x260  8    0,1,2,3,4,5,6,7  0C 16 16 30 00 B5 75 25
226659   68.48  1   0x316  8    0,1,2,3,4,5,7   05 16 B0 0A 16 13 00 76
226065   68.30  1   0x153  8    2,6,7           20 00 10 FF 00 FF 80 AE
225929   68.26  1   0x329  8    0,1,3,4,5       40 BA 7F 10 11 20 00 18
225298   68.07  1   0x340  8    4,6             04 00 00 24 74 00 AD 11
225160   68.03  1   0x112  8    1,5,6           FF 50 00 00 FF C0 09 00
224303   67.77  1   0x113  8    2,3,7           00 20 00 80 00 00 00 24
223813   67.62  1   0x164  4    2,3             00 08 02 0A
127789   38.61  1   0x386  8    0,1,2,3,5       00 40 00 80 00 40 00 80
127581   38.55  1   0x387  6    0,1,5           04 05 00 00 00 09
121011   36.56  1   0x4F1  4    0,1,2,3         00 00 8C 31
114238   34.51  1   0x38D  8    7               00 00 88 00 00 00 00 4C
113575   34.31  1   0x383  8    1,2,4,7         00 20 F2 71 8F 00 00 2C
113345   34.24  1   0x428  8    0,3,4,5,6       05 00 00 80 60 08 02 00
112077   33.86  1   0x381  8    0,1,2,3,4,5,6,7  80 31 40 33 00 5E 89 07
111962   33.83  1   0x420  8    0,1,2,3,4,5,6   90 1E 20 C8 B8 4B 6A 00
111678   33.74  1   0x390  7    0,1,2,3,4,5,6   03 33 00 20 5E B7 03
111461   33.68  1   0x429  8    0,1,6           5D 02 00 00 00 00 2F 03
111442   33.67  1   0x421  8    3,4,5,7         00 00 00 FF E3 7F 00 FC
111318   33.63  1   0x394  8    0,1,4,5,6,7     FC 03 00 00 FC 83 39 81
110590   33.41  1   0x47F  6    0,1             20 58 FF FA 00 00
 51798   15.65  1   0x436  4    -               00 00 00 00
 45669   13.80  1   0x58B  8    0,1,2,7         11 00 04 00 00 00 00 20
 45124   13.63  1   0x492  8    4,6,7           00 00 00 00 AD 80 75 9C
 45040   13.61  1   0x490  7    2,3             01 00 10 20 00 00 00
 44377   13.41  1   0x4F4  8    0,1,6,7         00 00 C0 00 00 00 00 01
 25756    7.78  1   0x541  8    0,1,2,3,4,5,6,7  03 00 41 00 C0 00 00 01
 25627    7.74  1   0x520  8    2               00 00 00 00 00 00 00 00
 24178    7.30  1   0x50C  8    0,1,2,4,5,6,7   C8 2B 04 00 10 10 02 98
 22491    6.80  1   0x4E5  8    1,3,4,5         80 42 00 01 49 C4 00 00
 22415    6.77  1   0x4E6  8    0,1,4,5,6       49 C4 00 00 83 83 8C 00
 22405    6.77  1   0x4E7  8    0,1,3,5         1F 80 00 07 00 85 00 00
 22357    6.75  1   0x500  1    0               3C
 22356    6.75  1   0x545  8    0,1,3,7         D8 57 00 8D 00 00 00 C4
 22332    6.75  1   0x547  8    0,2,3,4         00 00 80 3D AC 47 CD 18
 22289    6.73  1   0x549  8    -               FF FF FF FF FF FF FF 7F
 22146    6.69  1   0x556  8    0,1,2,3,5,6     1F 83 B0 0A 00 1B 02 00
 22124    6.68  1   0x557  8    0,1,4,5,6       7F 85 00 00 1B 94 01 00
 22065    6.67  1   0x5CE  8    0,1,2,4,6,7     1E 1F 61 00 01 00 72 00
 22063    6.67  1   0x5CF  8    0,1,4           3E 20 00 00 12 7F 80 00
 22003    6.65  1   0x53E  6    5               00 08 00 00 80 0E
 21964    6.64  1   0x502  4    -               00 00 00 00
 21842    6.60  1   0x507  4    0,3             00 00 00 01
 13164    3.98  0   0x44B  8    0,1             4D 02 00 00 00 00 FF FF
 13043    3.94  0   0x44D  8    0,1             4B 02 00 00 00 00 FF FF
