log=/Users/legion/Downloads/2CAN35_CANBOX_WORK_2026-05-08/canbus2can35_repo/logs/live/gsusb_20260508_204254.txt
frames=1358452 duration=532.104s

count   hz      ch  id       dlc  changing_bytes  sample
 52898   99.41  1   0x111  8    5,6,7           00 40 61 FF 63 E6 09 5C
 52873   99.37  1   0x112  8    1,5,6           FF F0 00 00 FF E6 09 00
 52872   99.36  1   0x220  8    0,1,2,5,7       0C E4 7F 00 00 55 10 1D
 52868   99.36  1   0x18F  8    1               FA 49 00 00 00 45 00 20
 52855   99.33  1   0x113  8    7               00 20 00 80 00 00 00 AC
 52853   99.33  1   0x153  8    6,7             20 00 10 FF 00 FF E0 0E
 52841   99.31  1   0x1BF  8    -               00 00 00 00 00 00 00 00
 52830   99.29  1   0x164  4    2,3             00 08 02 0A
 52828   99.28  1   0x251  8    0,1,2,3,5,6,7   02 04 27 96 00 02 E8 7F
 52825   99.28  1   0x200  6    0               00 00 6F 00 00 00
 52823   99.27  1   0x260  8    0,1,2,5,6,7     13 1F 1F 30 00 B6 6F 21
 52817   99.26  1   0x329  8    0,1             E2 AF 7F 10 11 20 00 18
 52816   99.26  1   0x2B0  5    0,2,4           52 00 00 07 33
 52809   99.25  1   0x316  8    1,2,3,4,5       45 1F D4 0A 1F 1D 00 76
 52375   98.43  1   0x340  8    4,6             04 00 00 24 84 00 BD 11
 26492   49.79  1   0x383  8    0,2,4,7         13 2B A2 7C 9D 00 00 7B
 26453   49.71  1   0x428  8    -               05 00 00 80 60 08 02 00
 26426   49.66  1   0x429  8    0               60 02 00 00 00 00 2F 03
 26419   49.65  1   0x4F1  4    0,3             00 00 88 A1
 26411   49.64  1   0x386  8    1,3             00 C0 00 80 00 40 00 80
 26408   49.63  1   0x381  8    1,2,3,5,6       80 01 40 52 00 93 AD 07
 26407   49.63  1   0x390  7    1,4,5           03 52 00 20 93 0B 03
 26403   49.62  1   0x47F  6    1               20 C8 FF FA 00 00
 26400   49.61  1   0x38D  8    7               00 00 88 00 00 00 00 C4
 26399   49.61  1   0x420  8    0               20 1E 20 C8 B8 4B 6A 00
 26398   49.61  1   0x387  6    -               03 00 00 00 00 03
 26397   49.61  1   0x394  8    0,1,4,5,6       FB 03 00 00 FB 83 1D 81
 26397   49.61  1   0x421  8    7               00 00 00 FF E3 7F 00 74
 10563   19.85  1   0x436  4    -               00 00 00 00
 10561   19.85  1   0x58B  8    -               11 00 04 00 00 00 00 20
 10560   19.85  1   0x4F4  8    -               00 00 C0 00 00 00 00 01
 10553   19.83  1   0x490  7    -               00 00 08 20 00 00 00
 10549   19.83  1   0x492  8    7               00 00 00 00 A6 80 7E F4
  5339   10.03  1   0x541  8    3,4,7           03 00 41 18 00 00 00 01
  5293    9.95  1   0x555  8    0,2             70 00 69 00 00 00 00 00
  5291    9.94  1   0x500  1    -               3D
  5285    9.93  1   0x50C  8    0,1,6,7         88 48 24 00 00 10 00 48
  5282    9.93  1   0x5CE  8    0,1,2,6,7       24 25 5F 00 01 00 5C 00
  5281    9.92  1   0x507  4    -               00 00 00 01
  5278    9.92  1   0x557  8    0,1,4,5,6       80 81 00 00 23 E6 01 00
  5277    9.92  1   0x502  4    -               00 00 00 00
  5276    9.92  1   0x520  8    -               00 00 00 00 00 00 00 00
  5276    9.92  1   0x549  8    -               FF FF FF FF FF FF FF 7F
  5275    9.91  1   0x4E5  8    1,3             80 56 00 02 49 C4 00 00
  5275    9.91  1   0x545  8    1,3,7           D8 74 00 8B 00 00 00 BB
  5275    9.91  1   0x547  8    2               00 00 81 3D B9 47 CF 18
  5275    9.91  1   0x556  8    0,1,2,3,5       2C 7B D4 0A 00 1C 02 00
  5274    9.91  1   0x4E7  8    0,1,3,5         2C 82 00 08 00 81 00 00
  5274    9.91  1   0x5CF  8    0,1,4           40 21 00 00 17 7F 80 00
  5273    9.91  1   0x4E6  8    4,5,6           49 C4 00 00 85 85 8B 00
  5235    9.84  1   0x53E  6    -               00 08 00 00 80 0E
