path,size
logs/.DS_Store,6.0 KB
logs/analysis_20260509/custom_c_protocol_sim.txt,151.0 B
logs/analysis_20260509/dashboard_api_smoke.txt,92.0 B
logs/analysis_20260509/dashboard_js_node_check.txt,46.0 B
logs/analysis_20260509/dashboard_status_20260509.json,231.8 KB
logs/analysis_20260509/firmware_build_summary.csv,3.1 KB
logs/analysis_20260509/full_log_frequency_summary.txt,7.6 KB
logs/analysis_20260509/important_function_rows.csv,3.6 KB
logs/analysis_20260509/known_id_segment_candidates.csv,106.4 KB
logs/analysis_20260509/live_204254_frequency_summary.txt,6.8 KB
logs/analysis_20260509/matrix_status_summary.csv,2.8 KB
logs/analysis_20260509/python_compile_smoke.txt,106.0 B
logs/analysis_20260509/raise_uart_command_summary.csv,3.6 KB
logs/car_can_cleanjump_20260506_220618.txt,4.1 MB
logs/live/can_activity_20260508_195507.jsonl,0.0 B
logs/live/can_activity_20260508_195517.jsonl,107.0 B
logs/live/can_now_20260508_195427.jsonl,107.0 B
logs/live/can_swapped_20260508_195616.jsonl,1.6 MB
logs/live/cdc_20260508_193717.txt,187.0 B
logs/live/cdc_20260508_203706.txt,187.0 B
logs/live/cdc_20260508_204011.txt,187.0 B
logs/live/driver_seat_heat_10s_candidates.json,60.6 KB
logs/live/gsusb_20260508_193719.txt,1.0 KB
logs/live/gsusb_20260508_195809.txt,32.5 MB
logs/live/gsusb_20260508_200446.txt,6.5 MB
logs/live/gsusb_20260508_200647.txt,1.0 KB
logs/live/gsusb_20260508_200827.txt,192.0 KB
logs/live/gsusb_20260508_201034.txt,89.8 MB
logs/live/gsusb_20260508_202352.txt,1.0 KB
logs/live/gsusb_20260508_203108.txt,854.7 KB
logs/live/gsusb_20260508_203130.txt,30.0 MB
logs/live/gsusb_20260508_203707.txt,1.0 KB
logs/live/gsusb_20260508_203715.txt,1.0 KB
logs/live/gsusb_20260508_203929.txt,1.0 KB
logs/live/gsusb_20260508_203930.txt,1.0 KB
logs/live/gsusb_20260508_203931.txt,1.0 KB
logs/live/gsusb_20260508_203932.txt,1.0 KB
logs/live/gsusb_20260508_204007.txt,1.0 KB
logs/live/gsusb_20260508_204254.txt,72.5 MB
logs/live/gsusb_20260508_205215.txt,78.7 KB
logs/live/gsusb_20260508_205216.txt,182.5 KB
logs/live/gsusb_20260508_205217.txt,406.7 KB
logs/live/gsusb_20260508_205220.txt,24.1 MB
logs/live/gsusb_20260508_205531.txt,4.3 MB
logs/live/gsusb_tx_20260508_193719.jsonl,0.0 B
logs/live/gsusb_tx_20260508_195809.jsonl,0.0 B
logs/live/gsusb_tx_20260508_200446.jsonl,0.0 B
logs/live/gsusb_tx_20260508_200647.jsonl,0.0 B
logs/live/gsusb_tx_20260508_200827.jsonl,0.0 B
logs/live/gsusb_tx_20260508_201034.jsonl,0.0 B
logs/live/gsusb_tx_20260508_202352.jsonl,0.0 B
logs/live/gsusb_tx_20260508_203108.jsonl,0.0 B
logs/live/gsusb_tx_20260508_203130.jsonl,0.0 B
logs/live/gsusb_tx_20260508_203707.jsonl,0.0 B
logs/live/gsusb_tx_20260508_203715.jsonl,0.0 B
logs/live/gsusb_tx_20260508_203929.jsonl,0.0 B
logs/live/gsusb_tx_20260508_203930.jsonl,0.0 B
logs/live/gsusb_tx_20260508_203931.jsonl,0.0 B
logs/live/gsusb_tx_20260508_203932.jsonl,0.0 B
logs/live/gsusb_tx_20260508_204007.jsonl,0.0 B
logs/live/gsusb_tx_20260508_204254.jsonl,0.0 B
logs/live/gsusb_tx_20260508_205215.jsonl,0.0 B
logs/live/gsusb_tx_20260508_205216.jsonl,0.0 B
logs/live/gsusb_tx_20260508_205217.jsonl,0.0 B
logs/live/gsusb_tx_20260508_205220.jsonl,0.0 B
logs/live/gsusb_tx_20260508_205531.jsonl,0.0 B
logs/live/latest_can_summary.txt,10.7 KB
logs/session_20260507/CLEAN_COMMON_CAN_LOG_20260507.md,235.1 KB
logs/session_20260507/FILLED_CAN_FUNCTION_TABLE_20260507.csv,36.5 KB
logs/session_20260507/LOGGER_VS_0705_04100007_CROSSREF.csv,4.1 KB
logs/session_20260507/README_capture.txt,40.0 B
logs/session_20260507/capture_summary_20260507_132119.md,5.1 KB
logs/session_20260507/full_gsusb_20260507_132119.txt,318.6 MB
logs/session_20260507/marker_delta_candidates_20260507_132119.md,107.7 KB
logs/session_20260507/markers_20260507_132119.txt,4.4 KB
logs/session_20260507/parking_analysis/dashboard_after_parking_walk_summary.json,28.5 KB
logs/session_20260507/parking_analysis/parking_analysis_20260507.md,25.7 KB
logs/session_20260507/parking_analysis/parking_transitions_20260507.json,93.1 KB
logs/session_20260507/segment_candidates_20260507_132119.json,598.6 KB
logs/session_20260507/segment_candidates_20260507_132119.md,125.3 KB
