category,function,direction,dbc_bus,dbc_id_hex,dbc_name,dbc_signals,log_marker,observed_channel,observed_bitrate,observed_id_hex,observed_dlc,observed_signal_or_byte,off_value,on_value,confidence,status,implementation_type,implementation_note
body,ignition_state,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_IGNSw; CF_Gway_Ign1; CF_Gway_Ign2,ignition_on_engine_off_and_sunroof_3x_open_close_done,ch1,500000,0x541,8,unique=4; count=442; first=00 00 41 00 C0 00 00 01; last=03 00 41 00 C0 00 00 01; samples=00 00 41 00 C0 00 00 01 | 02 00 41 00 C0 00 00 01 | 03 00 41 00 C0 00 00 01 | 03 00 41 00 C0 00 00 03,00 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,0.3,seen_in_log,read_only,evidence marker=ignition_on_engine_off_and_sunroof_3x_open_close_done
body,driver_door,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_DrvDrSw,driver_door_open_close_done,ch1,500000,0x541,8,unique=2; count=497; first=00 00 41 00 C0 00 00 01; last=00 00 41 00 C0 00 00 01; samples=00 00 41 00 C0 00 00 01 | 00 01 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,,0.3,seen_in_log,read_only,evidence marker=driver_door_open_close_done
body,driver_door_mirror,car_to_adapter,M-CAN,0x1EB,GW_DDM_PE,C_DRVDoorStatus,driver_door_open_close_done,ch0,100000,0x1EB,8,unique=1; count=112; first=00 08 00 00 00 00 00 00; last=00 08 00 00 00 00 00 00; samples=00 08 00 00 00 00 00 00,00 08 00 00 00 00 00 00,,0.1,seen_constant,mirror_to_hu,evidence marker=driver_door_open_close_done
body,passenger_door,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_AstDrSw,passenger_front_door_open_close_done,ch1,500000,0x541,8,unique=2; count=336; first=00 00 41 00 C0 00 00 01; last=00 00 41 00 C0 00 00 01; samples=00 00 41 00 C0 00 00 01 | 00 00 41 00 C8 00 00 01,00 00 41 00 C0 00 00 01,,0.3,seen_in_log,read_only,evidence marker=passenger_front_door_open_close_done
body,passenger_door_mirror,car_to_adapter,M-CAN,0x1EB,GW_DDM_PE,C_ASTDoorStatus,passenger_front_door_open_close_done,ch0,100000,0x1EB,8,unique=2; count=65; first=00 08 00 00 00 00 00 00; last=00 08 00 00 00 00 00 00; samples=00 08 00 00 00 00 00 00 | 00 00 00 00 00 00 00 00,00 08 00 00 00 00 00 00,,0.3,seen_in_log,mirror_to_hu,evidence marker=passenger_front_door_open_close_done
body,rear_left_door,car_to_adapter,C-CAN,0x553,CGW2,CF_Gway_RLDrSw,rear_left_door_open_close_done,ch1,500000,0x553,8,unique=5; count=199; first=00 00 00 08 01 00 C0 00; last=00 00 00 08 01 00 C0 00; samples=00 00 00 08 01 00 C0 00 | 00 00 01 08 01 00 C0 00 | 00 00 01 09 01 00 C0 00 | 00 00 10 09 01 00 C0 00,00 00 00 08 01 00 C0 00,,0.3,seen_in_log,read_only,evidence marker=rear_left_door_open_close_done
body,rear_left_door_mirror,car_to_adapter,M-CAN,0x1EB,GW_DDM_PE,C_RLDoorStatus,rear_left_door_open_close_done,ch0,100000,0x1EB,8,unique=1; count=58; first=00 08 00 00 00 00 00 00; last=00 08 00 00 00 00 00 00; samples=00 08 00 00 00 00 00 00,00 08 00 00 00 00 00 00,,0.1,seen_constant,mirror_to_hu,evidence marker=rear_left_door_open_close_done
body,rear_right_door,car_to_adapter,C-CAN,0x553,CGW2,CF_Gway_RRDrSw,rear_right_door_open_close_done,ch1,500000,0x553,8,unique=2; count=176; first=00 00 00 08 01 00 C0 00; last=00 00 00 08 01 00 C0 00; samples=00 00 00 08 01 00 C0 00 | 00 00 80 08 01 00 C0 00,00 00 00 08 01 00 C0 00,,0.3,seen_in_log,read_only,evidence marker=rear_right_door_open_close_done
body,rear_right_door_mirror,car_to_adapter,M-CAN,0x1EB,GW_DDM_PE,C_RRDoorStatus,rear_right_door_open_close_done,ch0,100000,0x1EB,8,unique=1; count=47; first=00 08 00 00 00 00 00 00; last=00 08 00 00 00 00 00 00; samples=00 08 00 00 00 00 00 00,00 08 00 00 00 00 00 00,,0.1,seen_constant,mirror_to_hu,evidence marker=rear_right_door_open_close_done
body,trunk,car_to_adapter,C-CAN,0x541,CGW1,CF_Gway_TrunkTgSw,trunk_open_close_done,ch1,500000,0x541,8,unique=4; count=411; first=00 00 41 00 C0 00 00 01; last=00 00 41 00 C0 00 00 01; samples=00 00 41 00 C0 00 00 01 | 00 00 49 00 C0 00 00 41 | 00 10 49 00 C0 00 00 41 | 00 10 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,,0.3,seen_in_log,read_only,evidence marker=trunk_open_close_done
