id,category,protocol,direction,cmd,name,frame,lab,decoded,status,checksum,source_match
fd_body_00,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,кузов все закрыто,FD 05 05 00 00 0A,uFD050500000A,кузов: все закрыто,candidate,ok,vehicle_doors; programmer_firmware_or_user_photo_match
fd_body_01,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,дверь LF,FD 05 05 01 00 0B,uFD050501000B,кузов: дверь водитель,candidate,ok,vehicle_doors; programmer_firmware_or_user_photo_match
fd_body_02,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,дверь RF,FD 05 05 02 00 0C,uFD050502000C,кузов: дверь пассажир,candidate,ok,vehicle_doors; programmer_firmware_or_user_photo_match
fd_body_04,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,дверь LR,FD 05 05 04 00 0E,uFD050504000E,кузов: задняя левая,candidate,ok,vehicle_doors; programmer_firmware_or_user_photo_match
fd_body_08,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,дверь RR,FD 05 05 08 00 12,uFD0505080012,кузов: задняя правая,candidate,ok,vehicle_doors; programmer_firmware_or_user_photo_match
fd_body_10,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,багажник,FD 05 05 10 00 1A,uFD050510001A,кузов: багажник,candidate,ok,vehicle_doors; programmer_firmware_or_user_photo_match
fd_body_20,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,капот,FD 05 05 20 00 2A,uFD050520002A,кузов: капот,candidate,ok,vehicle_doors; programmer_firmware_or_user_photo_match
fd_body_40,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,люк candidate bit6,FD 05 05 40 00 4A,uFD050540004A,кузов: люк candidate,candidate,ok,vehicle_sunroof_candidate
fd_body_80,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,люк/доп bit7 candidate,FD 05 05 80 00 8A,uFD050580008A,кузов: все закрыто,candidate,ok,vehicle_sunroof_candidate
fd_body_0f,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,все двери,FD 05 05 0F 00 19,uFD05050F0019,"кузов: дверь водитель, дверь пассажир, задняя левая, задняя правая",candidate,ok,vehicle_doors
fd_body_3f,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,двери+багажник+капот,FD 05 05 3F 00 49,uFD05053F0049,"кузов: дверь водитель, дверь пассажир, задняя левая, задняя правая, багажник, капот",candidate,ok,vehicle_doors
fd_body_7f,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,кузов все flags bit0..6,FD 05 05 7F 00 89,uFD05057F0089,"кузов: дверь водитель, дверь пассажир, задняя левая, задняя правая, багажник, капот, люк candidate",candidate,ok,vehicle_doors
fd_body_4000,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,люк candidate 2-byte 40 00,FD 06 05 40 00 00 4B,uFD06054000004B,кузов: люк candidate,candidate,ok,vehicle_sunroof_candidate
fd_body_0040,Raise FD кузов,raise_rzc_fd,canbox_to_hu,0x05,люк candidate 2-byte 00 40,FD 06 05 00 40 00 4B,uFD06050040004B,кузов: все закрыто,candidate,ok,vehicle_sunroof_candidate
fd_key_00_press,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,0x02,release,FD 06 02 00 01 00 09,uFD060200010009,"кнопка release, status 1",candidate,ok,steering_panel_key
fd_key_01_press,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,0x02,source/mode candidate,FD 06 02 01 01 00 0A,uFD06020101000A,"кнопка key 0x01, status 1",candidate,ok,steering_panel_key
fd_key_01_release,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,0x02,source/mode candidate release,FD 06 02 01 00 00 09,uFD060201000009,"кнопка key 0x01, status 0",candidate,ok,steering_panel_key
fd_key_02_press,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,0x02,mute candidate,FD 06 02 02 01 00 0B,uFD06020201000B,"кнопка key 0x02, status 1",candidate,ok,steering_panel_key
fd_key_02_release,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,0x02,mute candidate release,FD 06 02 02 00 00 0A,uFD06020200000A,"кнопка key 0x02, status 0",candidate,ok,steering_panel_key
fd_key_10_press,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,0x02,mute,FD 06 02 10 01 00 19,uFD060210010019,"кнопка mute, status 1",candidate,ok,steering_panel_key
fd_key_10_release,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,0x02,mute release,FD 06 02 10 00 00 18,uFD060210000018,"кнопка mute, status 0",candidate,ok,steering_panel_key
fd_key_11_press,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,0x02,source/mode,FD 06 02 11 01 00 1A,uFD06021101001A,"кнопка source/mode, status 1",candidate,ok,steering_panel_key
fd_key_11_release,Raise FD кнопки,raise_rzc_fd,canbox_to_hu,0x02,source/mode release,FD 06 02 11 00 00 19,uFD060211000019,"кнопка source/mode, status 0",candidate,ok,steering_panel_key
