id,category,protocol,direction,cmd,name,frame,lab,decoded,status,checksum,source_match
2e_key_00_press,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,release,2E 20 02 00 01 DC,u2E20020001DC,"2E кнопка/key code=0x00, status=0x01",candidate,ok,teyes_simple_external_candidate
2e_key_01_press,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,source/mode candidate,2E 20 02 01 01 DB,u2E20020101DB,"2E кнопка/key code=0x01, status=0x01",candidate,ok,teyes_simple_external_candidate
2e_key_01_release,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,source/mode candidate release,2E 20 02 01 00 DC,u2E20020100DC,"2E кнопка/key code=0x01, status=0x00",candidate,ok,teyes_simple_external_candidate
2e_key_02_press,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,mute candidate,2E 20 02 02 01 DA,u2E20020201DA,"2E кнопка/key code=0x02, status=0x01",candidate,ok,teyes_simple_external_candidate
2e_key_02_release,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,mute candidate release,2E 20 02 02 00 DB,u2E20020200DB,"2E кнопка/key code=0x02, status=0x00",candidate,ok,teyes_simple_external_candidate
2e_key_10_press,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,mute,2E 20 02 10 01 CC,u2E20021001CC,"2E кнопка/key code=0x10, status=0x01",candidate,ok,teyes_simple_external_candidate
2e_key_10_release,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,mute release,2E 20 02 10 00 CD,u2E20021000CD,"2E кнопка/key code=0x10, status=0x00",candidate,ok,teyes_simple_external_candidate
2e_key_11_press,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,source/mode,2E 20 02 11 01 CB,u2E20021101CB,"2E кнопка/key code=0x11, status=0x01",candidate,ok,teyes_simple_external_candidate
2e_key_11_release,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,source/mode release,2E 20 02 11 00 CC,u2E20021100CC,"2E кнопка/key code=0x11, status=0x00",candidate,ok,teyes_simple_external_candidate
2e_key_12_press,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,seek up,2E 20 02 12 01 CA,u2E20021201CA,"2E кнопка/key code=0x12, status=0x01",candidate,ok,teyes_simple_external_candidate
2e_key_12_release,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,seek up release,2E 20 02 12 00 CB,u2E20021200CB,"2E кнопка/key code=0x12, status=0x00",candidate,ok,teyes_simple_external_candidate
2e_key_13_press,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,seek down,2E 20 02 13 01 C9,u2E20021301C9,"2E кнопка/key code=0x13, status=0x01",candidate,ok,teyes_simple_external_candidate
2e_key_13_release,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,seek down release,2E 20 02 13 00 CA,u2E20021300CA,"2E кнопка/key code=0x13, status=0x00",candidate,ok,teyes_simple_external_candidate
2e_key_14_press,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,volume up,2E 20 02 14 01 C8,u2E20021401C8,"2E кнопка/key code=0x14, status=0x01",candidate,ok,teyes_simple_external_candidate
2e_key_14_release,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,volume up release,2E 20 02 14 00 C9,u2E20021400C9,"2E кнопка/key code=0x14, status=0x00",candidate,ok,teyes_simple_external_candidate
2e_key_15_press,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,volume down,2E 20 02 15 01 C7,u2E20021501C7,"2E кнопка/key code=0x15, status=0x01",candidate,ok,teyes_simple_external_candidate
2e_key_15_release,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,volume down release,2E 20 02 15 00 C8,u2E20021500C8,"2E кнопка/key code=0x15, status=0x00",candidate,ok,teyes_simple_external_candidate
2e_key_16_press,Simple/2E кнопки,canbox_2e,canbox_to_hu,0x20,phone accept,2E 20 02 16 01 C6,u2E20021601C6,"2E кнопка/key code=0x16, status=0x01",candidate,ok,teyes_simple_external_candidate
