db,profile_id,canbox_row_id,company_id,company_en,company_ch,company_name,carset_id,carset_en,carset_ch,carset_name,cartype_id,cartype_en,cartype_ch,cartype_name,canbox_en,canbox_ch,canbox_name,disp,limit_text,limit_byid,horv,cartype_msg,hits
canbus.db,411,2,2,HIWORLD,威驰,威驰,57,Landrover,路虎,路虎,2,Landrover,路虎,路虎,HiWord,威驰,威驰路虎,1,,,,,hiworld
canbus.db,65947,3,2,HIWORLD,威驰,威驰,57,Landrover,路虎,路虎,2,Landrover,路虎,路虎,HIGH.Original Reversing,高配.带原车倒车,威驰路虎高配带原车倒车,1,,,,,hiworld
canbus.db,1,4,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,435,PQ,PQ兼容,PQ兼容,HiWord,威驰,威驰大众PQ兼容,1,,,,,hiworld
canbus.db,196609,5,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,435,PQ,PQ兼容,PQ兼容,HiWord(DZ),威驰(DZ),威驰,1,,,,,hiworld
canbus.db,589841,6,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,4,MQB ALL,MQB全兼容,大众,HiWord,威驰,威驰,1,,,,,hiworld
canbus.db,17,7,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,5,Glof 7,高尔夫7,高尔夫7,High,高配,威驰(高配),1,,,,,hiworld
canbus.db,45,8,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,5,Glof 7,高尔夫7,高尔夫7,Low,低配,威驰(低配),0,,,,,hiworld
canbus.db,524305,9,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,5,Glof 7,高尔夫7,高尔夫7,HiWord(DZ),威驰(DZ),威驰(高配),1,,,,,hiworld
canbus.db,65553,10,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,6,Magotan,迈腾,迈腾,2017,2017款,威驰,1,,,,,hiworld
canbus.db,131089,11,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,6,Magotan,迈腾,迈腾,2017.High,2017款.高配,威驰,0,,,,,hiworld
canbus.db,65537,12,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,7,LAVIDA,朗逸,朗逸,2009,2009款,威驰,1,,,,,hiworld
canbus.db,270,13,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,8,Lamando,凌渡,凌渡,HiWord,威驰,威驰,1,,,,,hiworld
canbus.db,131342,14,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,9,Touareg,途锐,途锐,2017,2017款,威驰,1,,,,,hiworld
canbus.db,196625,15,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,10,TiguanL,途观L,途观L,2017,2017款,威驰,1,,,,,hiworld
canbus.db,262161,16,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,11,KODIAQ,柯迪亚克,科迪亚克,2017,2017款,威驰,1,,,,,hiworld
canbus.db,7697,17,2,HIWORLD,威驰,威驰,2,Volkswagen,大众,大众,12,Teramont,途昂,途昂,2017,2017款,威驰,1,,,,,hiworld
canbus.db,36,18,2,HIWORLD,威驰,威驰,3,GM/Chevrolet,通用别克/雪佛兰,通用别克雪佛兰,13,ALL,兼容,兼容,HiWord,威驰,威驰,1,,,,,hiworld
canbus.db,458788,19,2,HIWORLD,威驰,威驰,3,GM/Chevrolet,通用别克/雪佛兰,通用别克雪佛兰,14,GL6,GL6,GL8,2018-Present,2018至今,威驰17款-至今 Gl6,1,,,,,hiworld
canbus.db,393252,20,2,HIWORLD,威驰,威驰,3,GM/Chevrolet,通用别克/雪佛兰,通用别克雪佛兰,15,GL8,GL8,GL8,"2017-Present
",2017至今.25S,威驰17款-至今Gl8 25S,1,,,,,hiworld
canbus.db,13,21,2,HIWORLD,威驰,威驰,3,GM/Chevrolet,通用别克/雪佛兰,通用别克雪佛兰,16,Regal/envision,君威/昂科威,君威,2013(L),2013款.低配,威驰(低配)13款,1,,,,,hiworld
canbus.db,131085,22,2,HIWORLD,威驰,威驰,3,GM/Chevrolet,通用别克/雪佛兰,通用别克雪佛兰,16,Regal/envision,君威/昂科威,君威,2013(H),2013款.高配,威驰(高配)13款,1,,,,,hiworld
canbus.db,254,23,2,HIWORLD,威驰,威驰,3,GM/Chevrolet,通用别克/雪佛兰,通用别克雪佛兰,17,ExcelleGT,英朗,英朗,2015,2015款,威驰15款,1,,,,,hiworld
canbus.db,328123,24,2,HIWORLD,威驰,威驰,3,GM/Chevrolet,通用别克/雪佛兰,通用别克雪佛兰,17,ExcelleGT,英朗,英朗,Low,低配,威驰低配,1,,,,,hiworld
canbus.db,308,25,2,HIWORLD,威驰,威驰,3,GM/Chevrolet,通用别克/雪佛兰,通用别克雪佛兰,18,Verano,威朗,威朗,2015,2015款,威驰15款,1,,,,,hiworld
canbus.db,236,26,2,HIWORLD,威驰,威驰,3,GM/Chevrolet,通用别克/雪佛兰,通用别克雪佛兰,19,SAIL3,赛欧3,赛欧3,2015,2015款,威驰15款,1,,,,,hiworld
canbus.db,357,27,2,HIWORLD,威驰,威驰,3,GM/Chevrolet,通用别克/雪佛兰,通用别克雪佛兰,20,Malibu,迈锐宝,迈锐宝,2016,2016款,威驰16款,1,,,,,hiworld
canbus.db,524324,28,2,HIWORLD,威驰,威驰,3,GM/Chevrolet,通用别克/雪佛兰,通用别克雪佛兰,21,ORLANDO,沃兰多,沃兰多,2018-Present,2018至今,威驰通用雪佛兰18款-至今沃兰多,1,,,,,hiworld
canbus.db,14,29,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,22,Focus,福克斯,福克斯,2012,2012款,威驰12款,1,,,,,hiworld
canbus.db,319,30,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,22,Focus,福克斯,福克斯,2015,2015款,威驰15款,1,,,,,hiworld
canbus.db,15139259,31,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,22,Focus,福克斯,福克斯,2012.overseas,2012.海外版,威驰(欧版),1,,,,,hiworld
canbus.db,1638843,32,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,22,Focus,福克斯,福克斯,2019,2019款,威驰19款,1,,,,,hiworld
canbus.db,223,33,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,23,Mondeo,蒙迪欧,蒙迪欧,2007-2012,2007-2012款,威驰福特07-12款蒙迪欧,1,,,,,hiworld
canbus.db,21,34,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,23,Mondeo,蒙迪欧,蒙迪欧,2013.HAND,2013款.手动空调,威驰(低配)13款,1,,,,,hiworld
canbus.db,65557,35,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,23,Mondeo,蒙迪欧,蒙迪欧,2013.AUTO,2013款.自动空调,威驰(高配)13款,1,,,,,hiworld
canbus.db,49,36,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,24,Kuga,翼虎,翼虎,2012,2012款,威驰,1,,,,,hiworld
canbus.db,115,37,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,25,EcoSport,翼博,翼博,HiWord,威驰,威驰,1,,,,,hiworld
canbus.db,393237,38,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,25,EcoSport,翼博,翼博,2018,2018款,威驰,1,,,,,hiworld
canbus.db,164,39,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,26,Fiesta,嘉年华,嘉年华,2009,2009款,威驰09款,1,,,,,hiworld
canbus.db,241,40,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,27,EDGE,锐界,锐界,VW(OLD),威驰(老款),威驰,1,,,,,hiworld
canbus.db,293,41,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,27,EDGE,锐界,锐界,2015,2015款,威驰15款,1,,,,,hiworld
canbus.db,1769915,42,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,27,EDGE,锐界,锐界,2018,2018款,威驰18款,1,,,,,hiworld
canbus.db,1835451,43,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,27,EDGE,锐界,锐界,2018.HIGH.AMP,2018款.高配.带功放,18款锐界高配带功放,1,,,,,hiworld
canbus.db,336,44,2,HIWORLD,威驰,威驰,4,Ford,福特,福特,28,Escort,福睿斯,福睿斯,VW,威驰,威驰,1,,,,,hiworld
