kind,apk,dex,class,constant,value,hex,low16,variant_index
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_439_CXW_Kairui_K50,8847799,0x8701b7,439,135
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_439_HC_Qiya_KaiZunK7,4719031,0x4801b7,439,72
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_07Shengda,6422971,0x6201bb,443,98
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_12SORENTO,6488507,0x6301bb,443,99
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_15IX45_H,3015099,0x2e01bb,443,46
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_16K5,2752955,0x2a01bb,443,42
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_16KX5,2818491,0x2b01bb,443,43
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_17KX7,3080635,0x2f01bb,443,47
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_17KX7_H,3146171,0x3001bb,443,48
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_17Sonata9,2949563,0x2d01bb,443,45
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_18Encino,3342779,0x3301bb,443,51
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_18OPTIMA,15073723,0xe601bb,443,230
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_18Sonata9_L,3277243,0x3201bb,443,50
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_18Sonata9_M,3211707,0x3101bb,443,49
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_18Sportage,3408315,0x3401bb,443,52
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_19Shengda,3473851,0x3501bb,443,53
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_19Shengda_H,3867067,0x3b01bb,443,59
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_22H1Starex,14483899,0xdd01bb,443,221
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_22H1Starex_H,14549435,0xde01bb,443,222
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_22NIRO,10158523,0x9b01bb,443,155
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_IX35,1966523,0x1e01bb,443,30
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_IX35_H,2032059,0x1f01bb,443,31
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_IX45,2097595,0x2001bb,443,32
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_IX45_H,2163131,0x2101bb,443,33
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_KX5,9961915,0x9801bb,443,152
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_Lingdong,2687419,0x2901bb,443,41
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_Mingtu,2490811,0x2601bb,443,38
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_Mingtu_H,2556347,0x2701bb,443,39
profile,CANBUS_12.07.2024.apk,classes.dex,Lcom/syu/module/canbus/FinalCanbus;,CAR_443_WC2_XianDai_All_Santafe,10092987,0x9a01bb,443,154
